State,City,Popul.,"Yearly Crime Rates per 100,000 people",Total,Violent crime,ArsonÂ²,Property crime,Murder,Rape1,Robbery,Aggravated Assault,Total,Burglary
Alabama,Mobile,"248,431",6217.02,20.13,58.16,177.11,485.85,740.25,22.94,"1,216.84","3,730.21",506.78,"5,453.83"
Alaska,Anchorage,"296,188",6640.04,9.12,132.01,262.67,799.49,"1,203.29",20.93,748.17,"3,619.66","1,047.98","5,415.82"
Arizona,Chandler,"249,355",2589.08,2.01,52.13,56.95,148.68,259.47,12.39,314.41,"1,866.01",149.18,"2,329.61"
Arizona,Gilbert,"242,090",1483.75,2.07,16.11,21.07,46.26,85.51,12.39,192.49,"1,137.59",55.76,"1,385.85"
Arizona,Glendale,"249,273",5037.85,4.81,38.91,192.96,251.53,488.22,19.26,637.45,"3,426.36",466.56,"4,530.37"
Arizona,Mesa,"492,268",2592.49,4.67,51.19,92.23,267.74,415.83,4.67,381.50,"1,610.91",179.58,"2,171.99"
Arizona,Phoenix,"1,608,139",4443.2,9.55,69.46,200.28,481.64,760.93,11.56,778.57,"2,426.69",465.46,"3,670.71"
Arizona,Scottsdale,"251,840",2338.38,1.99,40.90,39.71,74.65,157.24,9.13,348.63,"1,725.70",97.68,"2,172.01"
Arizona,Tucson,"532,323",6082.78,8.64,93.55,268.82,430.75,801.77,29.31,831.07,"3,968.46",452.17,"5,251.70"
California,Anaheim,"353,400",2997.74,2.83,32.54,135.82,183.36,354.56,12.73,382.29,"1,809.00",439.16,"2,630.45"
California,Bakersfield,"381,154",4618.34,10.76,24.14,197.56,246.88,479.33,70.58,962.08,"2,377.78",728.58,"4,068.43"
California,Chula Vista,"271,109",1738.79,0.74,22.87,112.13,162.30,298.04,8.48,236.07,915.50,280.70,"1,432.27"
California,Fremont,"236,368",2343.8,0.85,28.77,79.11,73.61,182.34,11.00,284.73,"1,499.78",365.95,"2,150.46"
California,Fresno,"526,371",4447.63,10.64,33.06,182.00,339.30,565.00,41.23,693.24,"2,618.31",529.85,"3,841.40"
California,Irvine,"276,115",1381.31,0.72,16.66,19.92,23.90,61.21,3.62,227.08,"1,019.14",70.26,"1,316.48"
California,Long Beach,"471,397",3357.25,4.67,43.06,262.41,347.69,657.83,26.94,586.55,"1,507.01",578.92,"2,672.48"
California,Los Angeles,"3,898,747",3332.52,7.01,61.27,269.87,423.17,761.31,35.29,415.96,"1,640.99",478.97,"2,535.92"
California,Oakland,"424,915",7328.29,16.24,94.14,629.77,559.17,"1,299.32",46.13,617.06,"4,072.58","1,293.20","5,982.84"
California,Riverside,"328,023",3589.38,3.66,50.61,165.84,288.70,508.81,22.25,510.03,"2,020.89",527.40,"3,058.32"
California,Sacramento,"499,997",3654.02,7.80,19.80,220.00,428.00,675.60,41.80,577.60,"1,815.41",543.60,"2,936.62"
California,San Bernardino,"217,259",5189.66,15.65,72.72,403.67,799.05,"1,291.09",30.84,983.16,"1,836.52","1,048.06","3,867.73"
California,San Diego,"1,386,932",2220.67,2.46,39.25,99.01,225.89,366.61,11.09,268.03,"1,214.37",360.57,"1,842.97"
California,San Francisco,"881,255",6917.4,6.35,41.65,365.39,301.62,715.00,34.38,560.00,"5,059.49",548.54,"6,168.02"
California,San Jose,"1,013,240",2861.02,3.08,55.03,132.62,212.91,403.65,16.67,378.40,"1,284.69",777.62,"2,440.70"
California,Santa Ana,"335,699",2596.67,6.26,56.00,180.22,246.05,488.53,17.87,276.74,"1,223.72",589.81,"2,090.27"
California,Santa Clarita,"216,350",1592.79,1.85,18.49,56.39,85.97,162.70,6.01,311.53,923.04,189.51,"1,424.08"
California,Stockton,"309,566",5109.09,17.77,49.75,390.22,956.82,"1,414.56",67.19,691.29,"2,274.15",661.89,"3,627.34"
Colorado,Aurora,"368,018",3630.53,8.15,86.68,184.50,329.06,608.39,18.48,454.05,"1,954.80",594.81,"3,003.66"
Colorado,Colorado Springs,"472,958",3765.25,6.13,103.39,101.91,312.71,524.15,24.32,530.28,"2,235.08",451.41,"3,216.78"
Colorado,Denver,"706,616",4360.93,8.35,98.92,174.35,393.99,675.61,18.26,612.92,"2,267.29",786.85,"3,667.06"
District of Columbia,"Washington, D.C.","693,972",5104.96,16.72,63.84,338.77,529.42,948.74,10.07,260.53,"3,528.96",366.73,"4,156.22"
Florida,Hialeah,"238,260",2422.14,2.52,13.85,64.64,117.52,198.52,10.07,248.89,"1,677.16",287.50,"2,213.55"
Florida,Jacksonville,"894,638",4168.73,12.18,60.14,153.81,405.19,631.32,10.73,631.09,"2,568.64",326.95,"3,526.68"
Florida,Miami,"463,009",4750.89,11.23,22.68,211.23,475.80,720.94,15.77,526.99,"3,090.87",396.32,"4,014.18"
Florida,Orlando,"283,982",6206.38,8.10,64.44,213.04,458.48,744.06,7.75,840.90,"4,125.26",488.41,"5,454.57"
Florida,St. Petersburg,"263,712",5029.35,7.58,51.57,189.22,450.11,698.49,18.20,671.95,"3,269.85",370.86,"4,312.66"
Florida,Tampa,"384,360",2218.24,10.15,31.48,105.63,317.15,464.41,10.15,321.31,"1,274.85",147.52,"1,743.68"
Georgia,Atlanta,"481,343",5727.52,16.41,58.59,293.55,567.16,935.72,15.37,704.28,"3,387.19",684.96,"4,776.43"
Georgia,Savannah,"242,941",3901.36,14.41,41.16,156.83,250.27,462.66,7.41,549.52,"2,494.84",386.93,"3,431.29"
Hawaii,Honolulu,"990,384",3053.77,3.23,28.78,91.68,122.68,246.37,33.02,336.33,"2,073.94",364.10,"2,774.38"
Idaho,Boise,"225,677",2741.97,0.89,63.81,22.60,191.87,279.16,18.17,326.13,"1,965.20",153.32,"2,444.64"
Illinois,Chicago,"2,746,388",4381.65,18.26,65.11,439.26,570.36,"1,098.86",18.99,477.13,"2,358.83",427.84,"3,263.80"
Indiana,Fort Wayne,"266,259",3572.46,13.90,51.08,112.30,180.28,357.55,35.30,491.25,"2,488.55",199.81,"3,179.61"
Indiana,Indianapolis,"870,788",5775.23,17.91,76.71,400.21,839.13,"1,333.96",29.40,"1,027.23","2,821.47",563.17,"4,411.87"
Iowa,Des Moines,"217,277",5102.7,12.89,33.60,167.53,456.10,670.11,19.33,"1,099.06","2,734.30",579.90,"4,413.26"
Kansas,Wichita,"391,084",6583.5,8.95,97.68,153.16,762.50,"1,022.29",25.57,838.95,"4,063.07",633.62,"5,535.64"
Kentucky,Lexington,"322,332",4145.73,9.00,62.05,169.70,110.13,350.88,12.72,647.47,"2,739.72",394.93,"3,782.13"
Kentucky,Louisville Metro,"684,362",4769.99,15.93,25.57,193.76,411.77,647.03,0.73,821.64,"2,735.98",564.61,"4,122.23"
Louisiana,Baton Rouge,"227,403",6693.84,38.26,43.97,381.70,562.88,"1,026.81",73.00,"1,418.63","3,739.62",435.79,"5,594.03"
Louisiana,New Orleans,"397,447",5375.57,39.50,144.67,329.10,608.13,"1,121.41",10.32,560.83,"3,046.19",636.81,"4,243.84"
Maryland,Baltimore,"613,217",6997.68,55.77,62.29,958.71,950.23,"2,027.01",42.56,"1,311.28","2,773.57",843.26,"4,928.11"
Massachusetts,Boston,"682,903",2758.22,8.35,42.47,205.59,412.80,669.20,129.55,308.83,"1,603.74",176.45,"2,089.02"
Michigan,Detroit,"670,792",6726.82,39.80,103.91,393.42,"1,519.55","2,056.67",129.55,"1,231.08","2,093.79","1,215.73","4,540.60"
Minnesota,Minneapolis,"418,971",5768.18,10.02,122.68,434.16,534.40,"1,101.27",25.54,897.91,"3,173.49",569.97,"4,641.37"
Minnesota,St. Paul,"306,696",4262.86,7.17,70.75,227.26,345.62,650.81,46.63,741.45,"2,144.47",679.50,"3,565.42"
Missouri,Kansas City,"484,948",6309.55,30.93,91.76,383.13,"1,218.48","1,724.31",41.45,960.52,"2,670.39",912.88,"4,543.79"
Missouri,St. Louis,"310,284",8188.31,66.07,93.14,626.52,"1,296.55","2,082.29",64.78,"1,011.33","4,155.55",874.36,"6,041.24"
Nebraska,Omaha,"449,388",4527.49,6.90,91.24,139.08,410.11,647.32,7.02,464.63,"2,636.70",778.84,"3,880.17"
Nevada,Henderson,"299,285",2025.17,3.34,28.74,80.19,72.84,185.11,7.02,363.87,"1,254.99",214.18,"1,833.04"
Nevada,Las Vegas,"627,244",3567.87,12.60,79.64,211.15,315.50,618.90,5.59,805.17,"1,635.16",503.06,"2,943.38"
Nevada,Paradise,"242,537",3405.26,9.07,47.83,232.95,724.84,"1,014.69",4.54,804.00,"1,037.37",544.66,"2,386.03"
Nevada,Reno,"248,531",3766.53,7.64,57.14,153.70,455.07,673.56,7.24,541.98,"1,967.56",576.19,"3,085.73"
New Jersey,Jersey City,"267,906",2330.67,7.84,45.91,199.32,256.43,509.51,14.18,417.68,"1,206.02",183.27,"1,806.98"
New Jersey,Newark,"283,673",3316.84,27.14,40.89,377.19,451.22,896.45,25.38,423.73,"1,128.06",843.22,"2,395.01"
New Mexico,Albuquerque,"561,375",8734.98,12.47,84.26,521.93,750.48,"1,369.14",74.95,"1,246.23","4,750.84","1,368.78","7,365.84"
New York,Buffalo,"256,169",4930.34,15.61,55.43,334.54,613.66,"1,019.25",74.95,919.71,"2,591.26",325.18,"3,836.14"
New York,New York,"8,804,190",1987.49,3.39,27.56,162.42,345.52,538.90,21.21,128.87,"1,253.15",66.56,"1,448.59"
North Carolina8,Charlotte-Mecklenburg,"914,609",3836.39,9.40,97.62,220.53,433.52,947.12,21.21,701.50,"2,827.00",286.68,"3,815.18"
North Carolina8,Raleigh,"269,088",3837.78,8.55,97.62,316.63,467.13,947.12,11.52,867.37,"2,675.70",283.18,"3,826.26"
North Carolina8,Greensboro,"290,051",3601.78,15.86,97.62,228.93,480.61,947.12,39.65,710.91,"2,559.55",291.67,"3,562.13"
Ohio,Cincinnati,"309,317",5997,23.40,97.62,399.84,426.26,947.12,65.65,"1,152.73","3,400.69",496.46,"5,049.88"
Ohio,Cleveland,"372,624",6538.45,27.77,128.97,699.88,700.14,"1,556.76",65.65,"1,518.87","2,516.15",881.01,"4,916.04"
Ohio,Columbus,"905,748",4501.8,16.28,105.37,225.06,166.70,513.41,43.45,815.29,"2,650.87",478.79,"3,944.94"
Ohio,"Toledo,,","270,871",4003.74,12.63,87,281.47,661.82,"1,042.92",12.65,"1,119.75","2,615.15",268.84,"4,003.74"
Oklahoma,Oklahoma City,"648,260",4552.5,12.49,73.12,172.77,528.95,787.34,12.65,941.75,"2,378.83",431.93,"3,752.51"
Oklahoma,Tulsa,"404,868",6532.01,17.29,104.48,238.10,680.96,"1,040.83",35.57,"1,376.75","3,224.26",854.60,"5,455.61"
Oregon,Portland,"610,343",6239.99,3.70,67.45,160.92,283.64,515.70,47.27,729.13,"3,824.56","1,123.33","5,677.02"
Pennsylvania,Philadelphia,"1,603,797",4037.27,20.06,75.02,382.46,470.04,947.58,26.21,418.25,"2,297.23",348.00,"3,063.48"
Pennsylvania,Pittsburgh,"305,932",3815.23,17.98,29.42,262.15,346.81,656.36,44.45,526.26,"2,365.89",222.27,"3,114.42"
Tennessee,Memphis,"652,765",8357.07,27.73,90.38,529.59,"1,355.62","2,003.32",55.92,"1,460.25","4,224.49",613.08,"6,297.83"
Tennessee,Nashville,"674,942",4966.5,16.30,72.90,303.14,745.84,"1,138.17",10.37,631.31,"2,806.61",380.03,"3,817.96"
Texas,Arlington,"397,377",3721.91,4.78,63.92,144.95,303.24,516.89,7.30,453.22,"2,402.25",342.24,"3,197.72"
Texas,Austin,"971,949",3612.23,2.57,85.81,101.55,224.91,414.84,7.82,450.64,"2,525.03",213.90,"3,189.57"
Texas,Corpus Christi,"329,256",4285.11,6.38,70.46,142.75,482.91,702.49,17.31,677.89,"2,665.40",222.02,"3,565.31"
Texas,Dallas,"1,304,379",3985.95,12.48,62.08,327.00,373.09,774.64,26.22,737.66,"1,856.26",591.16,"3,185.09"
Texas,El Paso,"688,667",2203.25,2.76,53.87,58.08,264.13,378.85,5.52,188.33,"1,514.37",116.17,"1,818.88"
Texas,Fort Worth,"873,069",3792.83,8.02,65.17,147.30,339.72,560.21,17.30,585.98,"2,319.40",309.94,"3,215.32"
Texas,Allen,"236,243",3355.44,3.39,54.60,135.03,123.60,316.62,6.35,513.88,"2,175.73",342.87,"3,032.47"
Texas,Houston,"2,304,580",5252.08,11.50,58.42,417.96,607.34,"1,095.23",28.44,731.66,"2,900.82",495.93,"4,128.41"
Texas,Frisco,"242,062",2775.73,3.30,22.31,94.19,107.00,226.80,9.50,400.31,"1,845.39",293.73,"2,539.43"
Texas,Laredo,"260,669",2832.71,3.84,43.73,59.08,215.22,321.86,27.24,335.29,"2,083.10",65.22,"2,483.61"
Texas,Denton,"290,413",1892.14,5.17,27.89,40.98,75.75,149.79,8.61,250.68,"1,366.33",116.73,"1,733.74"
Texas,San Antonio,"1,434,625",5565.95,8.15,83.51,151.11,464.72,707.50,13.61,770.82,"3,622.65",451.37,"4,844.84"
Virginia,Chesapeake,"240,119",2699.5,4.58,36.23,82.46,295.69,418.96,8.33,276.11,"1,891.98",104.12,"2,272.21"
Virginia,Norfolk,"245,190",4308.09,14.68,55.06,151.31,334.84,555.90,3.26,471.47,"2,984.62",292.83,"3,748.93"
Virginia,Virginia Beach,"454,353",2083.4,3.08,22.45,59.87,52.16,137.56,11.22,165.95,"1,667.65",101.02,"1,934.62"
Washington,Seattle,"721,365",5911.99,3.74,36.87,210.02,382.05,632.69,20.66,"1,081.98","3,673.45",503.21,"5,258.64"
Washington,Spokane,"217,066",7881.01,2.76,109.64,105.50,408.63,626.54,23.03,"1,023.19","5,408.03",800.22,"7,231.44"
Wisconsin,Madison,"255,850",3040.46,4.30,37.13,82.86,250.15,374.44,3.91,362.32,"2,130.94",168.85,"2,662.11"
Wisconsin,Milwaukee,"595,168",5441.99,19.83,72.92,490.45,"1,014.17","1,597.36",52.59,927.13,"1,940.29",924.61,"3,792.04"
